Latitude,Longitude,Limiting_Magnitude
40.0994,-88.292,2
40.1116,-88.3723,3
37.5818,126.997,3
47.6102,20.728,4
42.9185,-89.2093,3
35.0163,135.746,3
44.0548,-121.327,4
35.0162,135.744,4
44.0582,-121.315,4
39.7392,-104.99,4
44.0278,-121.322,2
24.9278,-80.1166,5
44.0935,-121.292,2
49.8562,12.472,6
46.3588,16.6205,4
42.6292,-100.881,6
42.63,-100.865,6
42.6227,-100.863,6
42.6096,-100.872,6
42.6062,-100.881,6
42.5988,-100.896,6
42.5915,-100.891,6
42.5911,-101.034,6
52.9213,13.5473,6
33.6888,-112.537,4
48.1751,-114.337,6
48.178,-114.965,6
38.8968,-77.1124,3
38.8968,-77.1124,1
44.1176,15.2366,5
44.1176,15.2366,4
-42.0065,-71.5046,5
35.8845,139.611,2
36.3877,139.065,1
35.5794,139.419,2
35.8709,140.021,3
35.804,139.763,2
35.7286,139.477,3
51.3098,-114.036,5
51.2917,-114.014,1
51.2917,-114.014,1
34.2365,-110.084,4
33.3369,-111.425,5
35.7132,139.838,2
35.7591,139.631,2
35.872,140.008,2
35.7316,139.862,3
35.8068,139.679,3
35.8068,139.679,3
36.3399,140.475,2
35.9064,139.579,3
35.7387,139.849,2
45.3442,10.1466,4
46.5552,11.861,5
42.5923,-95.9708,5
47.5803,-117.546,4
38.8878,-119.82,4
34.8899,136.94,3
35.7455,139.703,3
36.0093,138.113,3
38.3264,140.882,4
36.2163,137.974,3
35.6587,139.883,1
35.7341,139.8,3
35.9618,138.256,5
36.3897,140.252,3
36.1032,138.197,3
51.3019,-114.032,1
35.4446,139.637,1
35.8652,139.74,2
3.05513,101.457,2
38.6086,-90.3598,4
35.6642,138.568,4
35.8595,139.989,2
35.9772,139.595,2
35.8425,139.677,2
35.857,139.649,3
36.2048,138.253,2
47.6101,20.7281,4
36.1136,139.796,2
35.9357,139.433,2
35.7642,139.998,2
35.9932,139.439,4
35.6904,140.094,1
42.6318,-98.6943,6
51.2917,-114.014,5
51.3049,-114.036,3
40.0287,-76.5363,4
42.3635,-71.3263,3
42.587,-95.9646,4
35.7632,139.704,1
33.87,132.816,1
36.0021,139.276,3
